setting,lam,r2_testmean,r2_trainmean,r2_within,r2_centroid_trainmean,cos_centroid_mean,cos_diff_mean,r2_diff,read_layer,write_layer,cv_r2
read L2 → write L24,10.0,-0.17233747614015038,-0.05326923572036213,-0.0013156361764934399,-0.2164919441063029,0.21286667869340845,0.2637595305507106,-0.40917582116119333,2,24,0.06275793377583747
read L4 → write L24,10.0,-0.15472523295252527,-0.037445776776929396,0.0036991766496281553,-0.16260385280951484,0.23405600009708205,0.2991460418953702,-0.16112665881468935,4,24,0.0771315877702294
read L8 → write L24,10.0,-0.14460619716068912,-0.028354478996545085,0.0037245556247283984,-0.12640486560715014,0.24200516643223535,0.3334269410586624,-0.14287591141242206,8,24,0.08877112920208968
read L12 → write L24,10.0,-0.13877772293295232,-0.02311797268312743,0.004450752351631282,-0.10857604716054214,0.25608975090769454,0.37743510189345125,-0.16750688313313078,12,24,0.09202496995351583
read L24 → write L24,10.0,-0.11473225091711714,-0.0015146746157146396,0.005093407046948606,-0.020974668015101505,0.25421230431492065,0.37893975439598787,0.003309507578822868,24,24,0.09190106435284627
read L4 → write L12,10.0,-0.28838348430783234,-0.1446867619118326,0.004460915936902787,-0.7506369911125934,0.18551753000963397,0.2162431265009612,-2.3051632651333,4,12,0.11262811489544029
read L4 → write L16,10.0,-0.2544564038740236,-0.09369720718601315,0.0027207200165563217,-0.3684982673617949,0.2033442885169462,0.310493152494564,-0.49602324697781164,4,16,0.09655628758282327
read L4 → write L20,10.0,-0.17779386200302527,-0.049905252034407876,0.0022590522181121786,-0.19898740224118505,0.22602739465965718,0.29475090994760644,-0.367900702377598,4,20,0.0834586682502424
read L8 → write L12,10.0,-0.2657229094798659,-0.12455357925401445,0.005815939289260608,-0.6538212095382294,0.19597115843744586,0.26278531738295924,-1.9537841375361364,8,12,0.1270738675764099
read L8 → write L16,10.0,-0.23317955114043243,-0.07514699345154408,0.0036358296978572513,-0.30026880606477735,0.2193899615727444,0.3411002386165611,-0.4410427620946997,8,16,0.11223498153721954
read L8 → write L20,10.0,-0.16427437770658204,-0.03785375641573241,0.0022819386272918685,-0.15387489532804,0.23692275691133338,0.31753835561443255,-0.36074403722935067,8,20,0.09729875083657435
read L0 → write L12,10.0,-0.3122429402309823,-0.16588511137400497,-0.0023278158972144247,-0.8199808289341413,0.11595683910035455,0.13294675801226755,-0.9622350695789199,0,12,0.088188622079809
read L0 → write L16,10.0,-0.2751887629176508,-0.11177270436101883,-0.0022028631053139236,-0.4185241335613872,0.13231298587220777,0.20113536372614216,-0.21605508894641412,0,16,0.0715850175443259
read L0 → write L20,10.0,-0.19190214133690175,-0.062481609449460684,-0.0023990079889220084,-0.23040139952190342,0.16910653136140263,0.1840973226739596,-0.20332859640370304,0,20,0.05374016179890765
