family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
sentence_caps,alt,24,4.0,0.2,0.15,0.261,0.94,0.06,0.2,0.005,0.0,0.0,0.68
sentence_caps,nat,12,0.5,0.52,0.451,0.588,0.97,0.025,0.52,0.555,0.545,0.565,0.77
all_caps,alt,10,1.0,0.12,0.082,0.172,0.555,0.05,0.275,0.0,0.0,0.0,0.355
all_caps,nat,4,0.5,0.585,0.516,0.651,0.98,0.02,0.585,0.535,0.575,0.515,0.755
double_space,alt,24,4.0,0.64,0.571,0.703,0.97,0.03,0.64,0.0,0.0,0.0,0.745
double_space,nat,8,0.5,0.7,0.633,0.759,0.985,0.01,0.705,0.65,0.69,0.71,0.765
us_uk,alt,20,4.0,0.565,0.496,0.632,0.66,0.18,0.845,0.09,0.545,0.075,0.545
us_uk,nat,24,2.0,0.735,0.67,0.791,0.84,0.15,0.86,0.625,0.65,0.645,0.715
ise_ize,alt,20,4.0,0.56,0.491,0.627,0.645,0.215,0.825,0.035,0.265,0.025,0.545
ise_ize,nat,10,1.0,0.705,0.638,0.764,0.855,0.1,0.83,0.665,0.705,0.68,0.755
whilst,alt,24,4.0,0.9,0.851,0.934,1.0,0.0,0.9,0.01,0.015,0.015,0.54
whilst,nat,24,4.0,0.885,0.833,0.922,0.98,0.015,0.9,0.69,0.67,0.72,0.58
contractions,alt,20,4.0,0.795,0.734,0.845,0.93,0.065,0.83,0.41,0.225,0.41,0.61
contractions,nat,20,4.0,0.65,0.582,0.713,0.815,0.15,0.795,0.23,0.07,0.225,0.685
ampersand,alt,24,4.0,0.85,0.794,0.893,0.97,0.03,0.87,0.0,0.0,0.005,0.625
ampersand,nat,8,1.0,0.84,0.783,0.884,0.935,0.065,0.885,0.81,0.835,0.835,0.83
em_dash,alt,24,4.0,0.575,0.506,0.641,0.79,0.16,0.685,0.02,0.0,0.05,0.64
em_dash,nat,24,4.0,0.76,0.696,0.814,0.97,0.03,0.765,0.595,0.095,0.56,0.725
ellipsis,alt,20,4.0,0.74,0.675,0.796,0.935,0.05,0.775,0.025,0.02,0.025,0.63
ellipsis,nat,12,2.0,0.545,0.476,0.613,0.944,0.03,0.576,0.449,0.477,0.445,0.71
num_words,alt,24,4.0,0.74,0.675,0.796,0.9,0.09,0.785,0.055,0.525,0.06,0.275
num_words,nat,16,4.0,0.725,0.659,0.782,0.88,0.105,0.8,0.655,0.635,0.545,0.785
percent_sign,alt,16,2.0,0.865,0.811,0.906,0.965,0.02,0.89,0.12,0.33,0.1,0.81
percent_sign,nat,24,0.5,0.86,0.805,0.901,0.985,0.005,0.875,0.76,0.81,0.725,0.875
ordinal_words,alt,20,2.0,0.745,0.68,0.8,0.955,0.04,0.78,0.37,0.455,0.42,0.65
ordinal_words,nat,16,4.0,0.47,0.402,0.539,0.615,0.32,0.685,0.295,0.38,0.24,0.78
