family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4
sentence_caps,nat,0.022,0.04,0.04,0.005,0.015,0.01
sentence_caps,alt,0.016,0.02,0.025,0.02,0.005,0.01
all_caps,nat,0.017,0.02,0.04,0.015,0.0,0.01
all_caps,alt,0.03,0.03,0.1,0.01,0.01,0.0
double_space,nat,0.006,0.01,0.01,0.005,0.005,0.0
double_space,alt,0.01,0.01,0.02,0.01,0.01,0.0
us_uk,nat,0.165,0.185,0.155,0.145,0.2,0.14
us_uk,alt,0.18,0.225,0.195,0.16,0.15,0.17
ise_ize,nat,0.161,0.155,0.15,0.15,0.185,0.165
ise_ize,alt,0.157,0.1,0.1,0.19,0.16,0.235
brit_t_past,nat,0.297,0.23,0.295,0.28,0.325,0.355
brit_t_past,alt,0.311,0.21,0.35,0.32,0.3,0.375
whilst,nat,0.222,0.195,0.24,0.205,0.225,0.245
whilst,alt,0.214,0.205,0.205,0.205,0.225,0.23
contractions,nat,0.128,0.205,0.135,0.1,0.115,0.085
contractions,alt,0.154,0.2,0.17,0.12,0.16,0.12
ampersand,nat,0.073,0.09,0.065,0.075,0.08,0.055
ampersand,alt,0.077,0.06,0.08,0.105,0.06,0.08
oxford_comma,nat,0.049,0.045,0.04,0.05,0.06,0.05
oxford_comma,alt,0.043,0.065,0.045,0.035,0.03,0.04
curly_quotes,nat,0.148,0.4,0.125,0.09,0.07,0.055
curly_quotes,alt,0.157,0.45,0.085,0.09,0.09,0.07
quote_punct,nat,0.122,0.23,0.11,0.125,0.07,0.075
quote_punct,alt,0.146,0.225,0.19,0.125,0.1,0.09
em_dash,nat,0.058,0.16,0.03,0.055,0.01,0.035
em_dash,alt,0.097,0.13,0.135,0.1,0.075,0.045
ellipsis,nat,0.03,0.08,0.035,0.01,0.02,0.005
ellipsis,alt,0.041,0.06,0.01,0.03,0.06,0.045
num_words,nat,0.118,0.175,0.125,0.115,0.1,0.075
num_words,alt,0.11,0.18,0.075,0.105,0.11,0.08
percent_sign,nat,0.006,0.015,0.0,0.0,0.005,0.01
percent_sign,alt,0.008,0.01,0.015,0.005,0.005,0.005
ordinal_words,nat,0.049,0.155,0.025,0.015,0.035,0.015
ordinal_words,alt,0.057,0.125,0.065,0.02,0.04,0.035
uk_vocab,nat,0.335,0.26,0.34,0.385,0.345,0.345
uk_vocab,alt,0.338,0.265,0.315,0.37,0.37,0.37
register,nat,0.186,0.335,0.215,0.15,0.145,0.085
register,alt,0.201,0.335,0.225,0.15,0.155,0.14
unit_abbr,nat,0.022,0.035,0.02,0.01,0.025,0.02
unit_abbr,alt,0.048,0.055,0.015,0.035,0.06,0.075
diacritics,nat,0.248,0.21,0.21,0.27,0.265,0.285
diacritics,alt,0.273,0.225,0.245,0.31,0.285,0.3
latin_abbr,nat,0.465,0.37,0.465,0.515,0.48,0.495
latin_abbr,alt,0.453,0.395,0.43,0.465,0.485,0.49
hyphen_compound,nat,0.216,0.215,0.22,0.18,0.215,0.25
hyphen_compound,alt,0.207,0.195,0.18,0.195,0.24,0.225
flat_adverb,nat,0.268,0.25,0.245,0.3,0.28,0.265
flat_adverb,alt,0.294,0.215,0.275,0.34,0.31,0.33
irreg_past,nat,0.482,0.4,0.44,0.47,0.53,0.57
irreg_past,alt,0.478,0.375,0.445,0.44,0.59,0.54
latin_plural,nat,0.146,0.13,0.095,0.17,0.165,0.17
latin_plural,alt,0.169,0.18,0.13,0.165,0.175,0.195
title_abbr,nat,0.364,0.475,0.31,0.395,0.335,0.305
title_abbr,alt,0.372,0.54,0.395,0.31,0.32,0.295
